                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0257,                 1.3818,                 1.3881,                0.66159,                 0.7836,                0.81266,                 0.5269,                    nan,                    nan,                    nan,             0.00047573,             0.00047573,             0.00047573
                      2,                 1.0387,                0.88064,                 1.3611,                0.72299,                0.79083,                0.80504,                0.44525,                    nan,                    nan,                    nan,             0.00094264,             0.00094264,             0.00094264
                      3,                 1.0262,                0.78689,                 1.3519,                0.81098,                0.83437,                0.85617,                0.57618,                    nan,                    nan,                    nan,              0.0014001,              0.0014001,              0.0014001
                      4,                 1.0043,                0.72944,                 1.3357,                0.86387,                 0.8248,                0.85971,                0.58442,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      5,                 0.9625,                 0.6752,                 1.3059,                0.90087,                0.84554,                0.90129,                 0.6172,                    nan,                    nan,                    nan,              0.0013866,              0.0013866,              0.0013866
                      6,                0.96292,                0.65063,                 1.2967,                0.85054,                 0.8603,                0.89657,                0.59928,                    nan,                    nan,                    nan,              0.0013724,              0.0013724,              0.0013724
                      7,                0.91991,                0.61641,                 1.2739,                0.94999,                0.87863,                0.91569,                0.63874,                    nan,                    nan,                    nan,              0.0013583,              0.0013583,              0.0013583
                      8,                0.91139,                0.59764,                 1.2614,                0.91499,                0.84815,                0.89363,                0.63964,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      9,                0.90054,                0.57701,                 1.2554,                0.95207,                0.86852,                0.92581,                0.65679,                    nan,                    nan,                    nan,                0.00133,                0.00133,                0.00133
                     10,                0.90059,                0.56469,                  1.245,                0.95463,                0.88275,                0.92905,                0.66511,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                     11,                0.89661,                0.56482,                 1.2501,                0.94321,                0.88149,                0.93063,                0.66094,                    nan,                    nan,                    nan,              0.0013017,              0.0013017,              0.0013017
                     12,                0.87896,                0.54592,                 1.2454,                0.95584,                0.90006,                 0.9489,                0.68597,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                     13,                0.87525,                 0.5367,                 1.2395,                0.93709,                0.87421,                0.92078,                0.65259,                    nan,                    nan,                    nan,              0.0012734,              0.0012734,              0.0012734
                     14,                0.86864,                0.52955,                 1.2333,                0.92828,                0.87998,                0.92122,                0.66666,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                     15,                0.85575,                0.51854,                 1.2237,                0.94417,                0.88217,                0.92684,                0.65585,                    nan,                    nan,                    nan,              0.0012451,              0.0012451,              0.0012451
                     16,                0.85331,                 0.5183,                 1.2273,                0.95092,                0.88438,                0.93175,                0.66683,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     17,                0.84148,                 0.4948,                 1.2174,                 0.9345,                0.91091,                0.94378,                0.66608,                    nan,                    nan,                    nan,              0.0012168,              0.0012168,              0.0012168
                     18,                0.84278,                0.50313,                 1.2094,                0.94142,                 0.8889,                0.93165,                 0.6777,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     19,                0.83884,                0.49064,                 1.2122,                0.91887,                0.91376,                0.94111,                0.68963,                    nan,                    nan,                    nan,              0.0011885,              0.0011885,              0.0011885
                     20,                0.83361,                0.49098,                 1.2093,                0.95371,                0.89172,                 0.9396,                0.67622,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
