epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.11,1.03827,1.39504,1.39064,0.74507,0.79546,0.80297,0.51007,1.32372,1.02777,1.67058,0.000475732,0.000475732,0.000475732
2,210.797,1.03654,0.88531,1.37209,0.8905,0.8229,0.89312,0.59834,1.08702,0.7692,1.4177,0.00094264,0.00094264,0.00094264
3,313.744,1.02646,0.78773,1.35438,0.90122,0.85051,0.88083,0.59883,1.06419,0.71354,1.38239,0.00140012,0.00140012,0.00140012
4,415.688,1.00054,0.72611,1.33372,0.87526,0.87841,0.9022,0.60202,1.03369,0.66445,1.38374,0.00138656,0.00138656,0.00138656
5,520.812,0.96918,0.68213,1.30629,0.96469,0.87314,0.9246,0.65104,0.96166,0.60353,1.29099,0.00137241,0.00137241,0.00137241
6,624.031,0.93991,0.63983,1.28324,0.90348,0.89279,0.91876,0.64926,0.98329,0.5906,1.30606,0.00135826,0.00135826,0.00135826
7,726.917,0.92731,0.61675,1.27737,0.88176,0.90412,0.91406,0.6425,0.968,0.56933,1.28586,0.00134412,0.00134412,0.00134412
8,829.23,0.91547,0.59403,1.27146,0.94797,0.86154,0.90842,0.64857,0.99883,0.56946,1.30503,0.00132997,0.00132997,0.00132997
9,932.077,0.90189,0.57948,1.25699,0.92417,0.8976,0.9302,0.6519,0.95824,0.58934,1.27532,0.00131582,0.00131582,0.00131582
10,1034.65,0.89614,0.5717,1.25385,0.92045,0.90752,0.93336,0.68293,0.92269,0.53049,1.23804,0.00130168,0.00130168,0.00130168
11,1137.72,0.87709,0.55409,1.24012,0.94595,0.89271,0.93005,0.6747,0.93692,0.51521,1.23509,0.00128753,0.00128753,0.00128753
12,1238.86,0.88325,0.54795,1.24019,0.95804,0.8894,0.93874,0.6811,0.92972,0.52031,1.23476,0.00127338,0.00127338,0.00127338
13,1341.9,0.8636,0.5338,1.2324,0.95819,0.90062,0.94858,0.68339,0.92256,0.51487,1.23248,0.00125923,0.00125923,0.00125923
14,1478.21,0.85101,0.52563,1.222,0.95123,0.90946,0.93753,0.67552,0.91755,0.51392,1.22816,0.00124509,0.00124509,0.00124509
15,1584.28,0.86141,0.5299,1.22937,0.91976,0.90049,0.93313,0.67554,0.916,0.48475,1.22468,0.00123094,0.00123094,0.00123094
16,1690.48,0.84853,0.51278,1.21907,0.96742,0.89591,0.95405,0.69116,0.91495,0.4888,1.21823,0.00121679,0.00121679,0.00121679
17,1796.84,0.85259,0.51349,1.22672,0.95953,0.92063,0.95124,0.68938,0.91862,0.46169,1.21659,0.00120265,0.00120265,0.00120265
18,1903.14,0.84929,0.50457,1.21568,0.93409,0.91122,0.94511,0.68847,0.93622,0.48733,1.22641,0.0011885,0.0011885,0.0011885
19,2009.44,0.84279,0.49643,1.21622,0.94278,0.90145,0.94397,0.68314,0.93647,0.46283,1.22934,0.00117435,0.00117435,0.00117435
20,2115.98,0.83844,0.49505,1.20915,0.95979,0.91403,0.95322,0.68882,0.90295,0.44788,1.20622,0.00116021,0.00116021,0.00116021
21,2222.54,0.83247,0.4886,1.20401,0.95727,0.89784,0.94431,0.68001,0.91917,0.46194,1.22538,0.00114606,0.00114606,0.00114606
22,2332.79,0.81859,0.48046,1.19675,0.95468,0.91911,0.95274,0.69616,0.89093,0.43724,1.19802,0.00113191,0.00113191,0.00113191
23,403.105,0.82907,0.47739,1.19925,0.97263,0.90701,0.96237,0.70645,0.89601,0.44801,1.18835,0.00111776,0.00111776,0.00111776
24,818.412,0.81534,0.47154,1.19829,0.93492,0.91308,0.93944,0.68067,0.90767,0.45494,1.20413,0.00110362,0.00110362,0.00110362
25,1230,0.81851,0.47024,1.19772,0.9387,0.91679,0.95074,0.69311,0.90205,0.43606,1.19694,0.00108947,0.00108947,0.00108947
26,1617.55,0.7997,0.46216,1.18537,0.95269,0.9139,0.95037,0.68862,0.906,0.44916,1.20928,0.00107532,0.00107532,0.00107532
27,2029.88,0.80716,0.46709,1.18613,0.96634,0.90366,0.95293,0.69451,0.89441,0.43533,1.1964,0.00106118,0.00106118,0.00106118
28,2441.74,0.80503,0.46459,1.18269,0.96436,0.91362,0.95655,0.69207,0.91914,0.42725,1.2044,0.00104703,0.00104703,0.00104703
29,2853.88,0.80153,0.45201,1.18214,0.96135,0.92576,0.95894,0.69555,0.90303,0.4433,1.19073,0.00103288,0.00103288,0.00103288
30,3265.87,0.79888,0.45331,1.18663,0.96044,0.91353,0.95561,0.7019,0.88548,0.42275,1.18049,0.00101873,0.00101873,0.00101873
31,3615.37,0.79007,0.44646,1.17568,0.94716,0.92896,0.95511,0.69739,0.89216,0.43407,1.19302,0.00100459,0.00100459,0.00100459
32,4038.42,0.78944,0.44758,1.17686,0.96677,0.91815,0.95879,0.70288,0.8874,0.41918,1.18431,0.00099044,0.00099044,0.00099044
33,4457.02,0.78154,0.44082,1.1687,0.97829,0.91419,0.95789,0.69481,0.90911,0.42438,1.19151,0.000976293,0.000976293,0.000976293
34,4875.47,0.78785,0.44334,1.1756,0.97663,0.9042,0.95072,0.69861,0.88728,0.40918,1.18896,0.000962146,0.000962146,0.000962146
35,5294.34,0.77696,0.43333,1.1706,0.97639,0.91114,0.95416,0.69815,0.89989,0.41287,1.19603,0.000947999,0.000947999,0.000947999
36,5743.33,0.77169,0.43194,1.16506,0.9584,0.91598,0.94729,0.69545,0.9044,0.43027,1.19906,0.000933851,0.000933851,0.000933851
37,6155.74,0.78145,0.43881,1.17292,0.95245,0.91272,0.95414,0.70119,0.89216,0.42176,1.19136,0.000919704,0.000919704,0.000919704
38,6567.79,0.76505,0.42969,1.16196,0.9767,0.9087,0.95832,0.69806,0.89023,0.41711,1.18705,0.000905557,0.000905557,0.000905557
39,6980.94,0.77542,0.43412,1.17305,0.96285,0.9225,0.96172,0.70502,0.88173,0.40536,1.17268,0.00089141,0.00089141,0.00089141
40,7393.62,0.77462,0.42752,1.16423,0.97613,0.90701,0.94951,0.69883,0.89419,0.41395,1.18306,0.000877263,0.000877263,0.000877263
41,7803.61,0.77013,0.42512,1.16496,0.96595,0.90257,0.94391,0.69297,0.89977,0.41013,1.19331,0.000863116,0.000863116,0.000863116
42,8214.92,0.7631,0.422,1.15991,0.96963,0.89968,0.94451,0.68981,0.89774,0.40962,1.19632,0.000848969,0.000848969,0.000848969
43,8622.7,0.76171,0.42234,1.15765,0.95715,0.93332,0.95999,0.69843,0.89744,0.40002,1.19095,0.000834822,0.000834822,0.000834822
44,9032.68,0.74925,0.4127,1.15079,0.94847,0.93652,0.95391,0.70175,0.87485,0.40333,1.16861,0.000820675,0.000820675,0.000820675
45,9442.46,0.75873,0.42032,1.16211,0.94831,0.92331,0.96368,0.70594,0.87691,0.4009,1.17125,0.000806528,0.000806528,0.000806528
46,9852.19,0.75969,0.42015,1.16136,0.93735,0.94369,0.96035,0.69928,0.87824,0.4051,1.18207,0.00079238,0.00079238,0.00079238
47,10262.2,0.75225,0.41343,1.15401,0.97179,0.92024,0.96476,0.70714,0.86499,0.39502,1.16427,0.000778233,0.000778233,0.000778233
48,10672.1,0.75487,0.41603,1.15374,0.97721,0.91584,0.96632,0.70675,0.87824,0.39922,1.17292,0.000764086,0.000764086,0.000764086
49,11081.3,0.75212,0.40882,1.14635,0.98133,0.91396,0.95988,0.71022,0.87826,0.3948,1.181,0.000749939,0.000749939,0.000749939
50,11491.2,0.75766,0.41421,1.15832,0.97786,0.9119,0.96422,0.71119,0.8789,0.39587,1.17406,0.000735792,0.000735792,0.000735792
51,11901.3,0.74991,0.40575,1.15242,0.93381,0.94538,0.96393,0.70928,0.87407,0.38634,1.17169,0.000721645,0.000721645,0.000721645
52,12223.4,0.75071,0.40195,1.15101,0.94207,0.9596,0.96232,0.70842,0.87288,0.38254,1.17103,0.000707498,0.000707498,0.000707498
53,12580.3,0.73902,0.39973,1.14692,0.93769,0.9531,0.96339,0.71602,0.8771,0.38956,1.16813,0.000693351,0.000693351,0.000693351
54,13025.6,0.73488,0.39555,1.13856,0.97554,0.90946,0.96181,0.71124,0.87072,0.38832,1.16896,0.000679204,0.000679204,0.000679204
55,13489.5,0.74191,0.40225,1.14587,0.97117,0.91634,0.96164,0.70378,0.88644,0.38632,1.17602,0.000665057,0.000665057,0.000665057
56,13959.6,0.74101,0.40036,1.14277,0.98013,0.91293,0.96644,0.71182,0.86957,0.3903,1.16305,0.000650909,0.000650909,0.000650909
57,14451.2,0.73217,0.39399,1.14001,0.96836,0.91316,0.95685,0.70513,0.8678,0.3893,1.1603,0.000636762,0.000636762,0.000636762
58,14927.1,0.74078,0.39836,1.14311,0.97743,0.91557,0.96359,0.71359,0.86979,0.38384,1.15908,0.000622615,0.000622615,0.000622615
59,15413,0.73953,0.399,1.1385,0.97074,0.91165,0.95646,0.71089,0.87906,0.38453,1.1706,0.000608468,0.000608468,0.000608468
60,15901.3,0.72766,0.39189,1.13995,0.94427,0.94532,0.96489,0.71004,0.87592,0.37857,1.17136,0.000594321,0.000594321,0.000594321
61,16384.4,0.72546,0.38853,1.13473,0.94294,0.94857,0.96873,0.71093,0.87333,0.37952,1.16755,0.000580174,0.000580174,0.000580174
62,16852.2,0.72907,0.39007,1.13679,0.94402,0.94369,0.96551,0.71314,0.87326,0.38083,1.16761,0.000566027,0.000566027,0.000566027
63,17286.1,0.72299,0.38849,1.13414,0.94583,0.94532,0.96765,0.71776,0.87438,0.37327,1.16752,0.00055188,0.00055188,0.00055188
64,17545.4,0.71115,0.38554,1.12898,0.94663,0.93554,0.95832,0.71119,0.86917,0.37636,1.16572,0.000537733,0.000537733,0.000537733
65,17824.3,0.72105,0.38047,1.13073,0.93799,0.94396,0.96014,0.70474,0.88067,0.3861,1.17797,0.000523586,0.000523586,0.000523586
66,18237,0.71496,0.37633,1.13002,0.94407,0.94379,0.9638,0.70908,0.87138,0.38472,1.16505,0.000509438,0.000509438,0.000509438
67,18580.4,0.72036,0.38373,1.12865,0.94797,0.93554,0.96243,0.70909,0.8807,0.38315,1.17637,0.000495291,0.000495291,0.000495291
68,18984.2,0.71787,0.38294,1.12818,0.93898,0.95265,0.96767,0.71559,0.86811,0.37716,1.16545,0.000481144,0.000481144,0.000481144
69,19395.6,0.71836,0.38073,1.12926,0.94229,0.95346,0.96868,0.71285,0.86772,0.37597,1.16707,0.000466997,0.000466997,0.000466997
70,19806.7,0.70046,0.37292,1.12097,0.94101,0.94251,0.96416,0.71353,0.87331,0.38509,1.17375,0.00045285,0.00045285,0.00045285
71,20218.5,0.70663,0.37249,1.12441,0.93918,0.95102,0.96733,0.71484,0.87062,0.37692,1.16853,0.000438703,0.000438703,0.000438703
72,20630.2,0.69967,0.37299,1.12095,0.94676,0.94776,0.96909,0.71762,0.86693,0.37373,1.16557,0.000424556,0.000424556,0.000424556
73,21041.2,0.70343,0.37557,1.119,0.9514,0.94704,0.96962,0.716,0.86177,0.36974,1.15998,0.000410409,0.000410409,0.000410409
74,21452.9,0.70913,0.37833,1.12426,0.95921,0.94287,0.97268,0.71724,0.86827,0.36829,1.16575,0.000396262,0.000396262,0.000396262
75,21864.1,0.69872,0.37052,1.12138,0.95684,0.9433,0.96952,0.71285,0.87163,0.37384,1.16625,0.000382115,0.000382115,0.000382115
76,22275.4,0.69981,0.36798,1.11849,0.95075,0.948,0.97074,0.71594,0.86769,0.37223,1.16226,0.000367967,0.000367967,0.000367967
